DateTime,AddedIPs,RemovedIPs
1568750493,3,1
1568754088,1,1
1568757690,0,1
1568772086,0,1
1568779287,0,1
1568793690,0,1
1568815285,1,1
1568826087,0,1
1568858484,1,0
1568865687,1,0
1568876489,2,0
1568898091,1,0
1568905293,1,0
1568916094,1,0
1568923293,0,1
1568959292,0,1
1568984490,0,1
1569006092,1,0
1569013290,0,1
1569038487,0,1
1569045689,1,2
1569056481,0,2
1569078083,1,0
1569128485,0,1
1569150081,0,1
1569161094,1,0
1569164478,0,1
1569168077,0,1
1569171677,0,2
1569182478,0,1
1569200473,0,1
1569225673,0,1
1569229276,0,1
1569233088,0,1
1569240070,0,1
1569261670,0,1
1569272477,1,0
1569301272,1,0
1569319274,1,0
1569355270,2,1
1569358998,1,0
1569362471,0,1
1569369670,0,1
1569373268,0,1
1569409432,2,0
1569412992,1,0
1569423816,1,1
1569452644,0,1
1569474069,1,1
1569477667,0,1
1569484989,0,1
1569488465,1,0
1569502991,0,1
1569517404,0,1
1569524635,1,0
1569539034,0,1
1569542471,1,1
1569564067,0,1
1569611035,0,1
1569614467,0,1
1569643262,0,1
1569661264,1,0
1569675666,0,1
1569683022,1,0
1569690062,0,1
1569700867,0,1
1569722461,0,1
1569765670,1,0
1569794462,0,1
1569812629,0,1
1569895269,1,0
1569902469,1,0
1569906197,0,1
1569913421,1,0
1569931274,1,0
1569945665,0,1
1569963776,1,0
1569967272,1,0
1570003264,1,0
1570010467,1,0
1570039267,0,1
1570053675,1,0
1570107829,0,1
1570115048,1,0
1570122227,1,0
1570125675,0,1
1570129436,0,1
1570143845,1,0
1570161671,1,0
1570187036,1,0
1570190468,1,0
1570197672,1,0
1570244638,0,1
1570266211,0,1
1570323808,0,1
1570428070,1,0
1570439000,0,1
1570492868,0,1
1570514470,2,0
1570586470,0,1
1570593668,0,2
1570597479,1,0
1570604469,0,1
1570622466,0,1
1570644064,0,1
1570669473,0,1
1570680066,1,0
1570687268,1,0
1570701672,2,0
1570744870,0,1
1570748471,1,0
1570752072,1,0
1570766480,1,1
1570788074,1,0
1570795280,0,1
1570809679,0,1
1570813480,0,1
1570820470,0,1
1570824071,0,1
1570845672,1,0
1570888871,0,1
1570921273,0,1
1570932071,0,1
1570946470,1,0
1570950070,0,1
1571004070,0,1
1571007670,1,0
1571011271,1,0
1571018467,0,2
1571025668,1,0
1571032866,0,1
1571036472,1,0
1571040069,1,0
1571061667,0,1
