DateTime,AddedIPs,RemovedIPs
1561721808,1,2
1561743875,0,2
1561765746,0,2
1561787776,3,1
1561820676,3,3
1561842516,0,2
1561864607,2,1
1561886654,1,0
1561908510,2,3
1561930360,1,0
1561952435,0,4
1561974519,3,1
1561996594,0,3
1562029489,4,2
1562051549,2,2
1562073407,2,1
1562095473,1,4
1562117559,1,0
1562139645,2,0
1562161718,2,2
1562183566,3,1
1562205668,1,935
1562227713,1,578
1562249810,3,4
1562271863,2,1
1562293995,3,3
1562316021,1,0
1562337880,3,1
1562359723,4,0
1562381770,1,3
1562403865,1,1
1562425954,2,2
1562448035,2,0
1562470119,0,2
1562491962,2,2
1562514032,1,1
1562535885,2,1
1562557951,3,0
1562579801,1,3
1562601888,2,0
1562645789,2,4
1562667887,1,3
1562689944,1,2
1562734347,4,1
1562756208,1,3
1562778067,1,2
1562800147,2,1
1562822200,0,1
1562844251,1,2
1562866135,3,2
1562888196,0,1
1562910043,1,4
1562931884,0,2
1562953943,1,3
1562975787,2,1
1563008920,3,2
1563031011,1,1
1563053059,0,2
1563074929,3,0
1563096782,2,2
1563118866,0,1
1563141141,0,2
1563162995,2,3
1563184920,3,1
1563206933,1,2
1563229146,2,0
1563251051,0,2
1563273171,1,1
1563295214,0,2
1563317337,1,2
1563339384,0,4
1563361274,0,1
1563383302,1,1
1563405381,0,2
1563427236,1,0
1563449304,0,2
1563471177,0,3
1563515293,0,1
1563537135,2,0
1563558995,1,1
1563581335,0,2
1563603412,0,2
1563625463,0,1
1563647313,0,1
1563669386,0,3
1563691484,0,2
1563768523,0,3
1563790576,1,2
1563812445,1,1
1563834504,0,2
1563856362,8,0
1563878416,0,1
1563922331,0,1
1563966178,3,0
1563988122,0,1
1564010182,1,0
1564032022,0,1
1564142188,0,2
1564164078,31,1
1564186145,30,0
1564208181,1,0
1564252096,5,0
1564273951,24,0
1564296009,30,0
1564317868,12,0
1564339947,26,0
1564361794,28,0
1564383889,18,1
1564405735,17,0
1564427813,10,1
1564449859,9,7
1564472136,3,1
1564494032,5,0
1564571071,0,2
1564593141,2,1
1564614989,11,0
1564636835,13,0
1564658900,11,1
1564702810,28,0
1564724683,24,0
1564746760,8,0
1564769052,25,31
1564790921,4,29
1564812974,0,1
1564834836,16,0
1564856893,17,5
1564878733,15,24
1564900829,15,30
1564922690,0,11
1564944740,0,26
1564966586,9,28
1564988439,9,18
1565010290,13,17
1565032340,13,10
1565054187,0,8
1565076051,0,4
1565098108,3,5
1565120185,4,0
1565142274,4,0
1565164123,3,0
1565219088,0,11
1565241141,0,15
1565262987,0,11
1565307161,0,28
1565329210,0,24
1565351051,0,7
1565372904,0,19
1565394991,0,11
1565416880,1,0
1565438930,0,16
1565461003,0,17
1565483058,1,15
1565505153,0,14
1565582693,1,19
1565605014,0,12
1565627063,0,13
1565648914,0,1
1565692853,0,1
1565714896,0,3
1565736742,1,6
1565758587,0,4
1565780585,0,1
1565868743,2,0
1565890595,1,0
1565912665,1,0
1565934758,3,0
1565978910,4,0
1566000972,5,0
1566022813,4,1
1566044683,6,0
1566066760,6,0
1566088829,5,1
1566110675,4,0
1566132782,5,0
1566154945,13,0
1566176923,6,1
1566198996,2,0
1566220870,3,0
1566242914,4,0
1566308920,2,0
1566330992,2,0
1566352861,2,1
1566374937,1,0
1566440916,0,1
1566462782,0,1
1566484823,0,2
1566506680,1,0
1566528742,2,3
1566550585,2,0
1566572523,2,1
1566594526,1,4
1566616607,1,6
1566638673,0,5
1566660576,1,3
1566682569,0,8
1566704432,1,3
1566726273,0,4
1566748116,1,11
1566770170,0,6
1566792213,3,6
1566814134,0,2
1566836211,0,5
1566858290,0,1
1566880357,2,0
1566902209,1,1
1566924286,0,2
1566946360,0,4
1567067805,7,0
1567111710,0,1
1567133550,0,2
1567155703,0,2
1567177722,0,2
1567210838,0,3
1567232902,0,2
1567277054,0,1
1567320773,0,1
1567364899,0,1
1567386761,0,1
1567408838,0,2
1567474852,0,1
1567496914,0,1
1567518998,0,1
1567640419,1,0
1567772441,2,0
1567794293,1,0
1567993243,1,0
1568103620,1,0
1568169612,1,7
1568235654,1,0
1568301873,0,1
1568323968,1,0
1568367913,1,1
1568389972,0,1
1568412111,0,1
1568522443,1,0
1568544294,2,0
1568566343,1,0
1568599529,1,1
1568687785,1,0
1568709855,0,1
1568775898,0,1
1568820044,1,0
1568842089,0,1
1568864219,1,0
1568886267,1,0
1568908114,1,0
1568930203,2,1
1568974343,1,1
1569018261,1,0
1569139732,0,2
1569162052,0,2
1569206015,0,1
1569272205,0,1
1569426789,0,1
1569481950,1,2
1569503796,1,1
1569547952,0,1
1569592108,0,1
1569636295,0,1
1569658352,1,0
1569680203,221,0
1570098765,1,2
1570142676,6,0
1570164754,2,0
1570231461,3,0
1570253544,1,1
1570275611,3,0
1570297472,3,210
1570319543,1,11
1570341393,7,0
1570385439,1,0
1570407397,4,0
1570429468,1,0
1570451564,2,0
1570495453,5,1
1570517305,1,0
1570539174,2,0
1570561339,2,0
1570583313,1,0
1570605394,1,0
1570627711,2,0
1570671616,2,0
1570693473,2,1
1570715528,1,0
1570737703,0,3
1570759560,1,3
1570781814,3,1
1570825707,1,3
1570847772,2,2
1570869636,2,3
1570892118,1,0
1570914405,0,3
1570936368,1,6
1570958458,0,1
1570980331,3,1
1571002340,0,4
1571024190,1,0
1571046264,0,3
1571068354,2,0
1571112527,2,5
1571134822,1,2
1571156890,0,1
1571178755,1,3
1571200824,0,1
1571222911,0,1
1571245447,1,1
1571289382,0,4
1571311242,2,1
1571333443,1,0
1571355379,2,1
1571377467,1,2
1571399313,1,1
1571421379,1,1
1571465322,1,2
1571487173,0,1
1571509219,0,2
1571531323,0,1
1571597543,0,2
1571630678,0,1
1571674572,1,3
1571718273,0,1
1571740334,1,1
1571784276,2,0
1571872121,2,0
1571894475,1,1
1571916502,1,2
1571938347,2,1
1571960431,1,2
1571982523,1,0
1572004369,3,1
1572026582,10,1
1572048514,15,0
1572070360,7,1
1572092438,9,0
1572114503,7,0
1572136360,6,0
1572158213,4,0
1572202358,1,0
1572346101,0,1
1572367956,0,1
1572390067,0,1
1572411920,4,0
1572433947,2,0
1572456037,1,0
1572478110,0,2
1572499960,0,1
1572522017,0,1
1572544109,1,2
1572565953,0,1
1572587897,1,0
1572609900,0,4
1572631964,0,10
1572654031,1,14
1572676115,0,7
1572698197,0,11
1572720261,0,9
1572742108,0,7
1572764174,0,4
1572808124,20,1
1572830195,104,0
1572852265,76,0
1572874119,53,0
1572896455,61,0
1572918558,21,0
1572940431,38,0
1572973480,47,0
1572995561,39,0
1573017624,8,0
1573039553,6,0
1573061547,2,0
1573083609,6,0
1573105455,2,0
1573127324,2,0
1573160472,3,0
1573204365,2,0
1573226424,8,0
1573248500,3,0
1573270360,2,0
